uri	pub	pub_copy	urlwd	idwd	mplace
http://lkg.org.pl/ns/lkg-core/F11_C682	Kurier Polski	Kurier Polski	https://www.wikidata.org/wiki/Q11751230	Q11751230	Warsaw, Poland
http://lkg.org.pl/ns/lkg-core/F11_C683	Kurier Poranny	Kurier Poranny	https://www.wikidata.org/wiki/Q3847887	Q3847887	Bialystok, Poland
http://lkg.org.pl/ns/lkg-core/F11_C684	Kurier Szczeciński	Kurier Szczeciński	https://www.wikidata.org/wiki/Q11751234	Q11751234	Szczecin, Poland
http://lkg.org.pl/ns/lkg-core/F11_C685	Kurier Wileński	Kurier Wileński	https://www.wikidata.org/wiki/Q1793105	Q1793105	Vilnius, Lithuania
http://lkg.org.pl/ns/lkg-core/F11_C687	Kuźnica	Kuźnica	https://www.wikidata.org/wiki/Q11751487	Q11751487	Lodz, Poland
http://lkg.org.pl/ns/lkg-core/F11_C688	Kwartalnik Artystyczny	Kwartalnik Artystyczny	https://www.wikidata.org/wiki/Q11751596	Q11751596	Warsaw, Poland
http://lkg.org.pl/ns/lkg-core/F11_C689	Kwartalnik Filmowy	Kwartalnik Filmowy	https://www.wikidata.org/wiki/Q11751599	Q11751599	Warsaw, Poland
http://lkg.org.pl/ns/lkg-core/F11_C690	Kwartalnik Neofilologiczny	Kwartalnik Neofilologiczny	https://www.wikidata.org/wiki/Q104356392	Q104356392	Warsaw, Poland
http://lkg.org.pl/ns/lkg-core/F11_C691	Kölnische Rundschau	Kölnische Rundschau	https://www.wikidata.org/wiki/Q895951	Q895951	Cologne, Germany
http://lkg.org.pl/ns/lkg-core/F11_C692	L'Autre Journal	L’Autre Journal	https://www.wikidata.org/wiki/Q3202646	Q3202646	Paris, France
http://lkg.org.pl/ns/lkg-core/F11_C697	Labyrint revue	Labyrint revue	https://www.wikidata.org/wiki/Q12032432	Q12032432	Prague, Czechia
http://lkg.org.pl/ns/lkg-core/F11_C137	Lambert Academic Publishing	OmniScriptum Publishing Group	https://www.wikidata.org/wiki/Q571831	Q571831	Saarbrücken, Germany
http://lkg.org.pl/ns/lkg-core/F11_C698	Lambert Academic Publishing; OmniScriptum GmbH & Co. KG	OmniScriptum Publishing Group	https://www.wikidata.org/wiki/Q571831	Q571831	Saarbrücken, Germany
http://lkg.org.pl/ns/lkg-core/F11_C699	Lampa	Lampa Magazine	https://www.wikidata.org/wiki/Q11752729	Q11752729	Warsaw, Poland
http://lkg.org.pl/ns/lkg-core/F11_C139	Lampa i Iskra Boża	Lampa i Iskra Boża	https://www.wikidata.org/wiki/Q11752733	Q11752733	Warsaw, Poland
